ID,label
50000,7
50001,7
50002,2
50003,4
50004,9
50005,9
50006,6
50007,3
50008,4
50009,5
50010,4
50011,4
50012,7
50013,4
50014,7
50015,0
50016,4
50017,9
50018,9
50019,7
50020,3
50021,5
50022,3
50023,7
50024,4
50025,2
50026,3
50027,7
50028,3
50029,7
50030,6
50031,5
50032,7
50033,0
50034,0
50035,4
50036,3
50037,7
50038,2
50039,7
50040,3
50041,3
50042,3
50043,1
50044,4
50045,7
50046,8
50047,3
50048,2
50049,3
50050,5
50051,7
50052,3
50053,5
50054,4
50055,9
50056,3
50057,5
50058,4
50059,6
50060,4
50061,1
50062,2
50063,5
50064,1
50065,7
50066,2
50067,7
50068,7
50069,4
50070,6
50071,3
50072,2
50073,3
50074,2
50075,2
50076,7
50077,8
50078,7
50079,4
50080,3
50081,4
50082,3
50083,7
50084,2
50085,1
50086,7
50087,7
50088,7
50089,2
50090,2
50091,7
50092,3
50093,4
50094,6
50095,3
50096,4
50097,5
50098,7
50099,7
50100,3
50101,7
50102,0
50103,3
50104,2
50105,2
50106,2
50107,6
50108,5
50109,8
50110,3
50111,0
50112,3
50113,8
50114,4
50115,2
50116,2
50117,3
50118,5
50119,1
50120,2
50121,2
50122,7
50123,3
50124,5
50125,7
50126,6
50127,4
50128,9
50129,7
50130,4
50131,9
50132,7
50133,8
50134,2
50135,9
50136,7
50137,7
50138,5
50139,9
50140,1
50141,4
50142,8
50143,5
50144,4
50145,6
50146,8
50147,6
50148,2
50149,0
50150,0
50151,5
50152,5
50153,7
50154,7
50155,1
50156,1
50157,2
50158,5
50159,4
50160,2
50161,4
50162,4
50163,3
50164,4
50165,9
50166,8
50167,4
50168,4
50169,1
50170,1
50171,2
50172,5
50173,1
50174,9
50175,7
50176,4
50177,0
50178,7
50179,4
50180,8
50181,9
50182,4
50183,8
50184,0
50185,6
50186,7
50187,3
50188,1
50189,4
50190,3
50191,5
50192,6
50193,7
50194,6
50195,5
50196,3
50197,6
50198,4
50199,3
50200,7
50201,1
50202,9
50203,6
50204,0
50205,7
50206,1
50207,1
50208,7
50209,5
50210,8
50211,8
50212,1
50213,3
50214,4
50215,0
50216,0
50217,1
50218,2
50219,9
50220,3
50221,2
50222,0
50223,3
50224,2
50225,2
50226,5
50227,5
50228,4
50229,6
50230,0
50231,9
50232,4
50233,3
50234,5
50235,5
50236,2
50237,5
50238,9
50239,6
50240,6
50241,2
50242,0
50243,7
50244,4
50245,2
50246,4
50247,2
50248,3
50249,2
50250,1
50251,1
50252,5
50253,3
50254,9
50255,3
50256,5
50257,6
50258,3
50259,5
50260,9
50261,7
50262,7
50263,3
50264,3
50265,1
50266,1
50267,6
50268,7
50269,9
50270,9
50271,7
50272,2
50273,2
50274,5
50275,4
50276,2
50277,0
50278,2
50279,0
50280,2
50281,2
50282,7
50283,3
50284,3
50285,2
50286,4
50287,8
50288,7
50289,2
50290,0
50291,9
50292,7
50293,7
50294,4
50295,0
50296,8
50297,3
50298,8
50299,3
50300,5
50301,2
50302,8
50303,5
50304,5
50305,4
50306,6
50307,9
50308,3
50309,5
50310,7
50311,6
50312,2
50313,3
50314,9
50315,0
50316,3
50317,7
50318,4
50319,7
50320,1
50321,4
50322,4
50323,6
50324,7
50325,7
50326,2
50327,8
50328,3
50329,3
50330,4
50331,4
50332,3
50333,9
50334,7
50335,2
50336,5
50337,1
50338,5
50339,8
50340,0
50341,4
50342,1
50343,3
50344,1
50345,4
50346,5
50347,2
50348,5
50349,5
50350,7
50351,7
50352,2
50353,8
50354,2
50355,4
50356,3
50357,1
50358,1
50359,5
50360,8
50361,6
50362,8
50363,7
50364,9
50365,9
50366,7
50367,7
50368,2
50369,2
50370,4
50371,6
50372,8
50373,3
50374,7
50375,3
50376,7
50377,4
50378,7
50379,3
50380,9
50381,7
50382,4
50383,3
50384,3
50385,3
50386,8
50387,7
50388,7
50389,2
50390,9
50391,3
50392,7
50393,9
50394,2
50395,8
50396,7
50397,9
50398,7
50399,2
50400,2
50401,7
50402,4
50403,7
50404,0
50405,7
50406,7
50407,3
50408,0
50409,0
50410,3
50411,6
50412,2
50413,3
50414,5
50415,0
50416,0
50417,7
50418,2
50419,2
50420,5
50421,1
50422,8
50423,7
50424,5
50425,7
50426,3
50427,4
50428,7
50429,1
50430,4
50431,5
50432,1
50433,9
50434,4
50435,5
50436,0
50437,4
50438,0
50439,7
50440,1
50441,7
50442,4
50443,7
50444,7
50445,2
50446,5
50447,2
50448,7
50449,2
50450,9
50451,5
50452,6
50453,7
50454,3
50455,7
50456,0
50457,5
50458,0
50459,4
50460,5
50461,1
50462,3
50463,7
50464,7
50465,9
50466,4
50467,2
50468,1
50469,5
50470,5
50471,0
50472,2
50473,4
50474,4
50475,6
50476,5
50477,0
50478,8
50479,4
50480,3
50481,2
50482,5
50483,5
50484,3
50485,4
50486,3
50487,4
50488,3
50489,3
50490,2
50491,2
50492,4
50493,6
50494,4
50495,4
50496,9
50497,6
50498,5
50499,2
50500,4
50501,7
50502,3
50503,9
50504,2
50505,2
50506,7
50507,5
50508,3
50509,1
50510,5
50511,5
50512,3
50513,3
50514,3
50515,9
50516,3
50517,7
50518,1
50519,4
50520,3
50521,8
50522,0
50523,9
50524,3
50525,7
50526,7
50527,4
50528,4
50529,5
50530,0
50531,7
50532,5
50533,5
50534,4
50535,7
50536,6
50537,3
50538,8
50539,9
50540,4
50541,7
50542,9
50543,0
50544,7
50545,1
50546,2
50547,6
50548,4
50549,5
50550,2
50551,3
50552,2
50553,3
50554,4
50555,3
50556,0
50557,7
50558,6
50559,0
50560,5
50561,3
50562,7
50563,3
50564,6
50565,8
50566,1
50567,2
50568,0
50569,2
50570,4
50571,7
50572,7
50573,3
50574,0
50575,4
50576,2
50577,3
50578,0
50579,9
50580,3
50581,3
50582,6
50583,9
50584,3
50585,7
50586,4
50587,5
50588,1
50589,2
50590,4
50591,9
50592,2
50593,4
50594,2
50595,2
50596,3
50597,0
50598,7
50599,2
50600,5
50601,6
50602,7
50603,1
50604,8
50605,5
50606,5
50607,4
50608,4
50609,2
50610,5
50611,3
50612,9
50613,9
50614,5
50615,8
50616,9
50617,2
50618,9
50619,9
50620,2
50621,4
50622,6
50623,2
50624,7
50625,3
50626,0
50627,9
50628,7
50629,3
50630,7
50631,5
50632,0
50633,9
50634,0
50635,2
50636,4
50637,0
50638,2
50639,3
50640,1
50641,2
50642,1
50643,0
50644,2
50645,9
50646,4
50647,2
50648,6
50649,4
50650,1
50651,9
50652,5
50653,7
50654,2
50655,0
50656,6
50657,5
50658,6
50659,9
50660,0
50661,8
50662,3
50663,3
50664,5
50665,0
50666,5
50667,7
50668,2
50669,0
50670,5
50671,2
50672,8
50673,5
50674,4
50675,0
50676,8
50677,7
50678,5
50679,0
50680,4
50681,7
50682,4
50683,3
50684,6
50685,9
50686,8
50687,5
50688,4
50689,5
50690,7
50691,5
50692,0
50693,3
50694,4
50695,2
50696,1
50697,7
50698,2
50699,0
50700,5
50701,4
50702,7
50703,8
50704,9
50705,4
50706,2
50707,3
50708,3
50709,8
50710,9
50711,1
50712,1
50713,3
50714,2
50715,2
50716,9
50717,8
50718,2
50719,8
50720,7
50721,2
50722,3
50723,2
50724,2
50725,4
50726,5
50727,4
50728,2
50729,8
50730,6
50731,6
50732,2
50733,8
50734,9
50735,3
50736,5
50737,7
50738,2
50739,9
50740,7
50741,7
50742,5
50743,5
50744,9
50745,8
50746,8
50747,2
50748,4
50749,5
50750,7
50751,1
50752,6
50753,3
50754,7
50755,1
50756,7
50757,5
50758,4
50759,9
50760,2
50761,3
50762,0
50763,5
50764,5
50765,7
50766,2
50767,9
50768,3
50769,3
50770,5
50771,6
50772,9
50773,9
50774,7
50775,3
50776,3
50777,8
50778,7
50779,7
50780,8
50781,2
50782,2
50783,7
50784,3
50785,4
50786,0
50787,0
50788,7
50789,5
50790,3
50791,2
50792,3
50793,9
50794,7
50795,4
50796,4
50797,7
50798,6
50799,7
50800,0
50801,4
50802,0
50803,1
50804,2
50805,4
50806,3
50807,4
50808,7
50809,5
50810,2
50811,7
50812,7
50813,5
50814,3
50815,7
50816,7
50817,1
50818,9
50819,4
50820,0
50821,5
50822,0
50823,7
50824,6
50825,9
50826,3
50827,7
50828,6
50829,3
50830,8
50831,5
50832,2
50833,9
50834,3
50835,2
50836,0
50837,5
50838,5
50839,0
50840,3
50841,3
50842,6
50843,6
50844,0
50845,4
50846,1
50847,7
50848,5
50849,2
50850,7
50851,2
50852,7
50853,3
50854,9
50855,2
50856,0
50857,3
50858,0
50859,8
50860,7
50861,7
50862,4
50863,9
50864,5
50865,2
50866,3
50867,9
50868,3
50869,5
50870,4
50871,2
50872,2
50873,9
50874,2
50875,4
50876,3
50877,3
50878,5
50879,1
50880,1
50881,2
50882,4
50883,7
50884,3
50885,7
50886,3
50887,4
50888,3
50889,2
50890,2
50891,4
50892,9
50893,2
50894,2
50895,3
50896,2
50897,3
50898,6
50899,4
50900,4
50901,2
50902,4
50903,0
50904,3
50905,5
50906,7
50907,7
50908,6
50909,6
50910,6
50911,3
50912,0
50913,5
50914,2
50915,9
50916,7
50917,3
50918,7
50919,1
50920,6
50921,5
50922,6
50923,1
50924,4
50925,7
50926,0
50927,1
50928,2
50929,3
50930,2
50931,9
50932,9
50933,9
50934,3
50935,7
50936,6
50937,0
50938,2
50939,6
50940,2
50941,4
50942,2
50943,4
50944,9
50945,5
50946,4
50947,7
50948,7
50949,9
50950,3
50951,8
50952,0
50953,3
50954,4
50955,6
50956,1
50957,0
50958,0
50959,0
50960,0
50961,3
50962,6
50963,5
50964,6
50965,0
50966,0
50967,9
