ID,label
50000,3
50001,3
50002,2
50003,4
50004,9
50005,9
50006,5
50007,3
50008,4
50009,5
50010,4
50011,7
50012,2
50013,4
50014,7
50015,0
50016,4
50017,9
50018,7
50019,3
50020,3
50021,5
50022,3
50023,6
50024,6
50025,1
50026,9
50027,0
50028,3
50029,7
50030,6
50031,5
50032,7
50033,1
50034,2
50035,0
50036,1
50037,7
50038,2
50039,5
50040,8
50041,3
50042,3
50043,1
50044,4
50045,2
50046,8
50047,3
50048,2
50049,3
50050,5
50051,2
50052,2
50053,5
50054,4
50055,9
50056,3
50057,5
50058,3
50059,6
50060,1
50061,1
50062,2
50063,5
50064,1
50065,3
50066,2
50067,7
50068,3
50069,3
50070,6
50071,3
50072,2
50073,3
50074,1
50075,2
50076,7
50077,8
50078,7
50079,3
50080,3
50081,0
50082,3
50083,7
50084,2
50085,1
50086,3
50087,7
50088,3
50089,2
50090,2
50091,9
50092,2
50093,1
50094,6
50095,3
50096,4
50097,5
50098,9
50099,2
50100,3
50101,7
50102,0
50103,3
50104,7
50105,2
50106,2
50107,6
50108,0
50109,4
50110,8
50111,0
50112,2
50113,8
50114,4
50115,3
50116,0
50117,3
50118,8
50119,1
50120,2
50121,2
50122,7
50123,0
50124,5
50125,3
50126,6
50127,2
50128,9
50129,7
50130,4
50131,9
50132,7
50133,9
50134,9
50135,3
50136,2
50137,3
50138,5
50139,9
50140,1
50141,7
50142,2
50143,5
50144,3
50145,6
50146,8
50147,6
50148,3
50149,0
50150,3
50151,5
50152,3
50153,7
50154,7
50155,8
50156,1
50157,8
50158,5
50159,4
50160,0
50161,4
50162,4
50163,2
50164,4
50165,9
50166,8
50167,4
50168,4
50169,1
50170,1
50171,2
50172,3
50173,1
50174,9
50175,7
50176,3
50177,0
50178,7
50179,1
50180,8
50181,9
50182,5
50183,8
50184,0
50185,6
50186,1
50187,3
50188,1
50189,2
50190,5
50191,5
50192,6
50193,5
50194,6
50195,5
50196,9
50197,6
50198,3
50199,3
50200,3
50201,1
50202,0
50203,6
50204,0
50205,7
50206,1
50207,1
50208,0
50209,5
50210,8
50211,8
50212,1
50213,3
50214,3
50215,0
50216,0
50217,1
50218,1
